trial,theme,topic_structure,g1_stage,level,condition,run_role,run,attempt,p1_anchor_ids,p2_anchor_ids,conflict_ids,conflict_count,union_count,jaccard_conflict_rate,cross_overlap_ratio,p1_story_overlap_ratio,p2_story_overlap_ratio,lexical_flagged_attempt,p1_transition,p2_transition,final_status,final_ng
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run2,1,FACT-01|FACT-02|FACT-05,FACT-03|FACT-04,,0,5,0.0,0.13,0.435,0.45,True,changed,fixed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run2,2,FACT-01|FACT-02|FACT-05,FACT-01|FACT-03|FACT-04,FACT-01,1,5,0.2,0.133,0.433,0.556,True,fixed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run3,0,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.207,0.483,0.478,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run3,1,FACT-01|FACT-04,FACT-02|FACT-05,,0,4,0.0,0.048,0.429,0.303,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,baseline,baseline,run3,2,FACT-01|FACT-02|FACT-04|FACT-05,FACT-03|FACT-04,FACT-04,1,5,0.2,0.148,0.37,0.5,True,changed,regressed_to_earlier_state,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,focus_hint,treatment,run1,0,FACT-01|FACT-02|FACT-03|FACT-04|FACT-05,FACT-04|FACT-05,FACT-04|FACT-05,2,5,0.4,0.233,0.567,0.448,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial06,hanshin,single_event_boxscore,post_g1,a2,focus_hint,treatment,run1,1,FACT-05,FACT-01|FACT-04,,0,3,0.0,0.103,0.31,0.414,True,changed,changed,OK,False
trial06,hanshin,single_event_boxscore,post_g1,a2,focus_hint,treatment,run1,2,FACT-01|FACT-04|FACT-05,FACT-02|FACT-05,FACT-05,1,4,0.25,0.179,0.393,0.148,False,changed,changed,OK,False
trial06,hanshin,single_event_boxscore,post_g1,a2,focus_hint,treatment,run2,0,FACT-01|FACT-02|FACT-05,FACT-01|FACT-04,FACT-01,1,4,0.25,0.156,0.469,0.433,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,focus_hint,treatment,run2,1,FACT-01|FACT-02|FACT-04|FACT-05,FACT-02|FACT-05,FACT-02|FACT-05,2,4,0.5,0.161,0.355,0.536,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,focus_hint,treatment,run2,2,FACT-01|FACT-02|FACT-05,FACT-01|FACT-04,FACT-01,1,4,0.25,0.107,0.357,0.258,False,regressed_to_earlier_state,regressed_to_earlier_state,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,focus_hint,treatment,run3,0,FACT-01|FACT-03|FACT-04,FACT-05,,0,4,0.0,0.083,0.458,0.31,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,focus_hint,treatment,run3,1,FACT-05,,,0,1,0.0,0.038,0.308,0.115,False,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,focus_hint,treatment,run3,2,FACT-01|FACT-03|FACT-04,FACT-01|FACT-02|FACT-04|FACT-05,FACT-01|FACT-04,2,5,0.4,0.2,0.4,0.455,True,regressed_to_earlier_state,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,a2,hint_only,treatment,run1,0,FACT-01|FACT-02|FACT-05,FACT-01|FACT-04,FACT-01,1,4,0.25,0.115,0.269,0.4,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial06,hanshin,single_event_boxscore,post_g1,a2,hint_only,treatment,run1,1,FACT-01|FACT-04,FACT-02|FACT-05,,0,4,0.0,0.037,0.333,0.258,False,changed,changed,OK,False
trial06,hanshin,single_event_boxscore,post_g1,b1b,baseline,baseline,run1,0,FACT-02|FACT-05,FACT-01|FACT-04,,0,4,0.0,0.094,0.375,0.609,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,baseline,baseline,run1,1,FACT-03|FACT-04,FACT-02|FACT-05,,0,4,0.0,0.107,0.571,0.265,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,baseline,baseline,run1,2,FACT-01|FACT-02|FACT-04|FACT-05,FACT-01|FACT-02|FACT-05,FACT-01|FACT-02|FACT-05,3,4,0.75,0.286,0.457,0.303,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,baseline,baseline,run2,0,FACT-03|FACT-04,FACT-02|FACT-05,,0,4,0.0,0.179,0.536,0.273,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,baseline,baseline,run2,1,FACT-02|FACT-04|FACT-05,FACT-02|FACT-05,FACT-02|FACT-05,2,3,0.6666666666666666,0.152,0.424,0.312,True,changed,fixed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,baseline,baseline,run2,2,FACT-01|FACT-02|FACT-04,FACT-02|FACT-03|FACT-05,FACT-02,1,5,0.2,0.04,0.44,0.483,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,baseline,baseline,run3,0,FACT-02|FACT-05,FACT-01|FACT-04,,0,4,0.0,0.077,0.346,0.458,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,baseline,baseline,run3,1,FACT-01|FACT-02|FACT-05,FACT-03|FACT-04,,0,5,0.0,0.125,0.344,0.438,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,baseline,baseline,run3,2,FACT-01|FACT-02|FACT-04|FACT-05,FACT-02|FACT-03|FACT-04|FACT-05,FACT-02|FACT-04|FACT-05,3,5,0.6,0.207,0.414,0.444,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,focus_hint,treatment,run1,0,FACT-02|FACT-05,FACT-04,,0,3,0.0,0.125,0.312,0.433,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,focus_hint,treatment,run1,1,FACT-05,FACT-01|FACT-02|FACT-04|FACT-05,FACT-05,1,4,0.25,0.182,0.242,0.56,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,focus_hint,treatment,run1,2,FACT-03|FACT-04,FACT-05,,0,3,0.0,0.115,0.5,0.323,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,focus_hint,treatment,run2,0,FACT-02|FACT-05,FACT-01|FACT-04,,0,4,0.0,0.108,0.297,0.314,False,n/a_first_attempt,n/a_first_attempt,OK,False
trial06,hanshin,single_event_boxscore,post_g1,b1b,focus_hint,treatment,run3,0,FACT-05,FACT-01|FACT-04,,0,3,0.0,0.2,0.467,0.448,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial06,hanshin,single_event_boxscore,post_g1,b1b,focus_hint,treatment,run3,1,FACT-03|FACT-04,FACT-05,,0,3,0.0,0.121,0.394,0.226,False,changed,changed,OK,False
trial06,hanshin,single_event_boxscore,post_g1,b1b,hint_only,treatment,run1,0,FACT-01|FACT-03|FACT-04,FACT-02|FACT-05,,0,5,0.0,0.152,0.455,0.441,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,hint_only,treatment,run1,1,FACT-02|FACT-05,FACT-02|FACT-04|FACT-05,FACT-02|FACT-05,2,3,0.6666666666666666,0.147,0.294,0.432,True,changed,changed,NG_REVIEW_REQUIRED,True
trial06,hanshin,single_event_boxscore,post_g1,b1b,hint_only,treatment,run1,2,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.111,0.333,0.375,False,fixed,changed,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,a2,gapfix,treatment,run1,0,FACT-01|FACT-02|FACT-04|FACT-05,FACT-01|FACT-03|FACT-04,FACT-01|FACT-04,2,5,0.4,0.208,0.292,0.667,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,a2,gapfix,treatment,run1,1,FACT-01|FACT-02|FACT-03|FACT-04,FACT-01|FACT-04|FACT-05,FACT-01|FACT-04,2,5,0.4,0.233,0.567,0.688,True,changed,changed,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,a2,gapfix,treatment,run1,2,FACT-02|FACT-04|FACT-05,FACT-01|FACT-03|FACT-04,FACT-04,1,5,0.2,0.167,0.472,0.5,True,changed,regressed_to_earlier_state,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,a2,gapfix,treatment,run2,0,FACT-01|FACT-04,FACT-05,,0,3,0.0,0.13,0.652,0.367,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,a2,gapfix,treatment,run2,1,FACT-02|FACT-03|FACT-04,FACT-01|FACT-05,,0,5,0.0,0.033,0.233,0.241,False,changed,changed,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,b1b,gapfix,treatment,run1,0,FACT-01|FACT-02|FACT-03|FACT-04,FACT-01|FACT-05,FACT-01,1,5,0.2,0.174,0.652,0.519,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,b1b,gapfix,treatment,run1,1,FACT-01|FACT-02|FACT-04,FACT-02|FACT-05,FACT-02,1,4,0.25,0.158,0.342,0.261,False,changed,changed,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,b1b,gapfix,treatment,run1,2,FACT-01|FACT-02|FACT-05,FACT-01|FACT-04,FACT-01,1,4,0.25,0.075,0.275,0.37,False,changed,changed,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,b1b,gapfix,treatment,run2,0,FACT-01|FACT-02|FACT-04,FACT-01|FACT-02|FACT-05,FACT-01|FACT-02,2,4,0.5,0.087,0.478,0.281,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,b1b,gapfix,treatment,run2,1,FACT-01|FACT-05,FACT-02|FACT-05,FACT-05,1,3,0.3333333333333333,0.042,0.458,0.393,True,changed,changed,NG_REVIEW_REQUIRED,True
trial05_hanshin,hanshin,single_event_boxscore,post_g1,b1b,gapfix,treatment,run2,2,FACT-01|FACT-02|FACT-05,FACT-01|FACT-03|FACT-04,FACT-01,1,5,0.2,0.179,0.41,0.6,True,changed,changed,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,a2,baseline,baseline,run1,0,F-203,F-202|F-208,,0,3,0.0,0.15,0.425,0.368,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial05_theme2,theme2,survey_trend,post_g1,a2,baseline,baseline,run1,1,F-202|F-203,F-202,F-202,1,2,0.5,0.098,0.268,0.29,False,changed,changed,OK,False
trial05_theme2,theme2,survey_trend,post_g1,a2,baseline,baseline,run2,0,F-202|F-208,F-204|F-205|F-206,,0,5,0.0,0.081,0.324,0.613,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,a2,baseline,baseline,run2,1,F-202|F-203,F-204|F-205|F-206,,0,5,0.0,0.132,0.342,0.35,False,changed,fixed,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,a2,baseline,baseline,run2,2,F-202|F-208,F-204|F-205|F-206,,0,5,0.0,0.135,0.405,0.278,True,regressed_to_earlier_state,fixed,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,a2,gapfix,treatment,run1,0,F-202|F-203|F-205,F-202|F-208,F-202,1,4,0.25,0.182,0.485,0.486,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,a2,gapfix,treatment,run1,1,F-202|F-203,F-204|F-205|F-206,,0,5,0.0,0.171,0.366,0.548,True,changed,changed,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,a2,gapfix,treatment,run1,2,F-202|F-203,F-204|F-205|F-206,,0,5,0.0,0.158,0.289,0.405,True,fixed,fixed,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,a2,gapfix,treatment,run2,0,F-202|F-203|F-205,F-202|F-208,F-202,1,4,0.25,0.192,0.615,0.464,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial05_theme2,theme2,survey_trend,post_g1,a2,gapfix,treatment,run2,1,F-202|F-203,F-202|F-205|F-206,F-202,1,4,0.25,0.179,0.231,0.179,False,changed,changed,OK,False
trial05_theme2,theme2,survey_trend,post_g1,b1b,baseline,baseline,run1,0,,,,0,0,,0.045,0.568,0.429,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,b1b,baseline,baseline,run1,1,F-202|F-203|F-208,F-204|F-205|F-206,,0,6,0.0,0.171,0.514,0.333,True,changed,changed,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,b1b,baseline,baseline,run1,2,F-202|F-203,F-204|F-205|F-206,,0,5,0.0,0.094,0.344,0.357,False,changed,fixed,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,b1b,baseline,baseline,run2,0,F-202|F-203,F-204|F-205|F-206,,0,5,0.0,0.125,0.4,0.394,True,n/a_first_attempt,n/a_first_attempt,OK,False
trial05_theme2,theme2,survey_trend,post_g1,b1b,baseline,baseline,run2,1,F-202|F-203,F-202|F-208,F-202,1,3,0.3333333333333333,0.029,0.265,0.353,False,fixed,changed,OK,False
trial05_theme2,theme2,survey_trend,post_g1,b1b,gapfix,treatment,run1,0,F-202|F-203,F-202|F-208,F-202,1,3,0.3333333333333333,0.194,0.419,0.438,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,b1b,gapfix,treatment,run1,1,F-202|F-203|F-204|F-205,F-202|F-208,F-202,1,5,0.2,0.114,0.4,0.405,True,changed,fixed,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,b1b,gapfix,treatment,run1,2,F-202|F-203,F-204|F-205|F-206,,0,5,0.0,0.121,0.242,0.595,True,regressed_to_earlier_state,changed,NG_REVIEW_REQUIRED,True
trial05_theme2,theme2,survey_trend,post_g1,b1b,gapfix,treatment,run2,0,F-202|F-208,F-204|F-205|F-206,,0,5,0.0,0.086,0.229,0.314,False,n/a_first_attempt,n/a_first_attempt,OK,False
trial08_branch,hanshin,single_event_boxscore,post_g1,a2,branch_diagnostic,treatment,run1,0,FACT-01|FACT-03|FACT-04,FACT-01|FACT-04|FACT-05,FACT-01|FACT-04,2,4,0.5,0.24,0.6,0.4,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,a2,branch_diagnostic,treatment,run1,1,FACT-05,FACT-03|FACT-04,,0,3,0.0,0.033,0.233,0.394,False,changed,changed,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,a2,branch_diagnostic,treatment,run1,2,FACT-05,FACT-03|FACT-04,,0,3,0.0,0.235,0.382,0.429,True,fixed,fixed,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,a2,branch_diagnostic,treatment,run2,0,FACT-01|FACT-04,FACT-01|FACT-05,FACT-01,1,3,0.3333333333333333,0.136,0.5,0.387,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,a2,branch_diagnostic,treatment,run2,1,FACT-02|FACT-03|FACT-04,FACT-05,,0,4,0.0,0.0,0.207,0.0,False,changed,changed,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,a2,branch_diagnostic,treatment,run2,2,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.067,0.2,0.406,True,changed,changed,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,a2,branch_diagnostic,treatment,run3,0,FACT-02|FACT-05,FACT-01|FACT-03|FACT-04,,0,5,0.0,0.132,0.316,0.333,False,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,a2,branch_diagnostic,treatment,run3,1,FACT-01|FACT-04,FACT-05,,0,3,0.0,0.105,0.684,0.321,True,changed,changed,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,a2,branch_diagnostic,treatment,run3,2,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.207,0.276,0.36,False,regressed_to_earlier_state,changed,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,b1b,branch_diagnostic,treatment,run1,0,FACT-02|FACT-03|FACT-04,FACT-02|FACT-05,FACT-02,1,4,0.25,0.152,0.576,0.371,True,n/a_first_attempt,n/a_first_attempt,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,b1b,branch_diagnostic,treatment,run1,1,FACT-02|FACT-05,FACT-01|FACT-03|FACT-04,,0,5,0.0,0.037,0.333,0.219,False,changed,changed,NG_REVIEW_REQUIRED,True
trial08_branch,hanshin,single_event_boxscore,post_g1,b1b,branch_diagnostic,treatment,run1,2,FACT-02|FACT-05,FACT-03|FACT-04,,0,4,0.0,0.128,0.333,0.525,True,fixed,changed,NG_REVIEW_REQUIRED,True
