trial,theme,topic_structure,level,condition,run,point_label,point_word_count_raw,story_word_count_raw,raw_overlap_ratio,raw_flag,point_word_count_filtered,story_word_count_filtered,candidate_full_norm_overlap_ratio,candidate_full_norm_flag,candidate_no_ordinal_overlap_ratio,candidate_no_ordinal_flag
trial06,hanshin,single_event_boxscore,b1b,baseline,run1,point_two,37,72,0.2973,False,31,54,0.2581,False,0.303,False
trial06,hanshin,single_event_boxscore,b1b,baseline,run2,point_one,29,77,0.3793,False,28,57,0.3571,False,0.3571,False
trial06,hanshin,single_event_boxscore,b1b,baseline,run2,point_two,33,77,0.4545,True,27,57,0.3333,False,0.3571,False
trial06,hanshin,single_event_boxscore,b1b,baseline,run3,point_one,32,64,0.4062,True,24,47,0.3333,False,0.3846,False
trial06,hanshin,single_event_boxscore,b1b,baseline,run3,point_two,27,64,0.4444,True,23,47,0.3478,False,0.3478,False
trial06,hanshin,single_event_boxscore,b1b,focus_hint,run1,point_one,29,74,0.4828,True,23,55,0.3478,False,0.375,False
trial06,hanshin,single_event_boxscore,b1b,focus_hint,run1,point_two,35,74,0.3143,False,28,55,0.25,False,0.3,False
trial06,hanshin,single_event_boxscore,b1b,focus_hint,run2,point_one,40,63,0.35,False,34,47,0.3235,False,0.3429,False
trial06,hanshin,single_event_boxscore,b1b,focus_hint,run2,point_two,37,63,0.2973,False,34,47,0.2647,False,0.2647,False
trial06,hanshin,single_event_boxscore,b1b,focus_hint,run3,point_one,36,64,0.3611,False,28,49,0.2857,False,0.3103,False
trial06,hanshin,single_event_boxscore,b1b,focus_hint,run3,point_two,34,64,0.2059,False,25,49,0.12,False,0.1852,False
trial06,hanshin,single_event_boxscore,b1b,hint_only,run1,point_one,39,63,0.3077,False,31,48,0.2903,False,0.3235,False
trial06,hanshin,single_event_boxscore,b1b,hint_only,run1,point_two,33,63,0.3636,False,28,48,0.25,False,0.2759,False
trial05_hanshin,hanshin,single_event_boxscore,a2,gapfix,run1,point_one,38,79,0.4474,True,31,59,0.3226,False,0.3438,False
trial05_hanshin,hanshin,single_event_boxscore,a2,gapfix,run1,point_two,29,79,0.4483,True,24,59,0.3333,False,0.3333,False
trial05_hanshin,hanshin,single_event_boxscore,a2,gapfix,run2,point_one,34,47,0.2353,False,28,36,0.2143,False,0.2414,False
trial05_hanshin,hanshin,single_event_boxscore,a2,gapfix,run2,point_two,32,47,0.2812,False,26,36,0.2308,False,0.2857,False
trial05_hanshin,hanshin,single_event_boxscore,b1b,gapfix,run1,point_one,43,73,0.2558,False,35,58,0.2,False,0.2432,False
trial05_hanshin,hanshin,single_event_boxscore,b1b,gapfix,run1,point_two,29,73,0.3448,False,26,58,0.2692,False,0.2692,False
trial05_hanshin,hanshin,single_event_boxscore,b1b,gapfix,run2,point_one,41,76,0.4146,True,35,60,0.4,True,0.4167,True
trial05_hanshin,hanshin,single_event_boxscore,b1b,gapfix,run2,point_two,33,76,0.5758,True,28,60,0.5,True,0.5172,True
trial05_theme2,theme2,survey_trend,a2,baseline,run1,point_one,43,80,0.2558,False,41,76,0.2683,False,0.2683,False
trial05_theme2,theme2,survey_trend,a2,baseline,run1,point_two,34,80,0.2647,False,34,76,0.2647,False,0.2647,False
trial05_theme2,theme2,survey_trend,a2,baseline,run2,point_one,41,80,0.4146,True,40,72,0.425,True,0.4146,True
trial05_theme2,theme2,survey_trend,a2,baseline,run2,point_two,37,80,0.2973,False,37,72,0.2973,False,0.2973,False
trial05_theme2,theme2,survey_trend,a2,gapfix,run1,point_one,39,83,0.3077,False,38,78,0.3158,False,0.3158,False
trial05_theme2,theme2,survey_trend,a2,gapfix,run1,point_two,37,83,0.4054,True,34,78,0.3529,False,0.3529,False
trial05_theme2,theme2,survey_trend,a2,gapfix,run2,point_one,41,68,0.2439,False,40,66,0.25,False,0.25,False
trial05_theme2,theme2,survey_trend,a2,gapfix,run2,point_two,42,68,0.1905,False,39,66,0.2051,False,0.2051,False
trial05_theme2,theme2,survey_trend,b1b,baseline,run1,point_one,36,108,0.3333,False,36,99,0.3333,False,0.3333,False
trial05_theme2,theme2,survey_trend,b1b,baseline,run1,point_two,45,108,0.3333,False,45,99,0.3333,False,0.3333,False
trial05_theme2,theme2,survey_trend,b1b,baseline,run2,point_one,36,109,0.3889,False,36,103,0.3889,False,0.3889,False
trial05_theme2,theme2,survey_trend,b1b,baseline,run2,point_two,37,109,0.3243,False,37,103,0.3243,False,0.3243,False
trial05_theme2,theme2,survey_trend,b1b,gapfix,run1,point_one,36,89,0.2778,False,34,85,0.2941,False,0.2941,False
trial05_theme2,theme2,survey_trend,b1b,gapfix,run1,point_two,46,89,0.5435,True,43,85,0.5116,True,0.5116,True
trial05_theme2,theme2,survey_trend,b1b,gapfix,run2,point_one,38,87,0.2368,False,38,83,0.2368,False,0.2368,False
trial05_theme2,theme2,survey_trend,b1b,gapfix,run2,point_two,37,87,0.2973,False,37,83,0.2973,False,0.2973,False
trial08_branch,hanshin,single_event_boxscore,a2,branch_diagnostic,run1,point_one,37,72,0.3514,False,29,53,0.2759,False,0.3438,False
trial08_branch,hanshin,single_event_boxscore,a2,branch_diagnostic,run1,point_two,35,72,0.4286,True,32,53,0.375,False,0.375,False
trial08_branch,hanshin,single_event_boxscore,a2,branch_diagnostic,run2,point_one,33,63,0.2121,False,27,47,0.1852,False,0.2414,False
trial08_branch,hanshin,single_event_boxscore,a2,branch_diagnostic,run2,point_two,33,63,0.3939,False,28,47,0.2857,False,0.2857,False
trial08_branch,hanshin,single_event_boxscore,a2,branch_diagnostic,run3,point_one,31,60,0.2903,False,26,44,0.2692,False,0.2963,False
trial08_branch,hanshin,single_event_boxscore,a2,branch_diagnostic,run3,point_two,27,60,0.3333,False,22,44,0.2727,False,0.2609,False
trial08_branch,hanshin,single_event_boxscore,b1b,branch_diagnostic,run1,point_one,42,60,0.3333,False,33,45,0.2727,False,0.3333,False
trial08_branch,hanshin,single_event_boxscore,b1b,branch_diagnostic,run1,point_two,42,60,0.5,True,37,45,0.4324,True,0.4324,True
trial08_branch,hanshin,single_event_boxscore,b1b,branch_diagnostic,run2,point_one,31,67,0.3226,False,25,52,0.28,False,0.3333,False
trial08_branch,hanshin,single_event_boxscore,b1b,branch_diagnostic,run2,point_two,35,67,0.2857,False,33,52,0.2424,False,0.2424,False
trial08_branch,hanshin,single_event_boxscore,b1b,branch_diagnostic,run3,point_one,35,72,0.2857,False,26,57,0.1923,False,0.25,False
trial08_branch,hanshin,single_event_boxscore,b1b,branch_diagnostic,run3,point_two,30,72,0.2667,False,26,57,0.1923,False,0.2222,False
trial09_cart,car_t,mechanism_limitation,a2,focus_hint,run1,point_one,39,104,0.1795,False,39,94,0.1795,False,0.1795,False
trial09_cart,car_t,mechanism_limitation,a2,focus_hint,run1,point_two,39,104,0.359,False,36,94,0.3333,False,0.3333,False
trial09_cart,car_t,mechanism_limitation,a2,focus_hint,run2,point_one,42,130,0.1905,False,42,121,0.1905,False,0.1905,False
trial09_cart,car_t,mechanism_limitation,a2,focus_hint,run2,point_two,38,130,0.3158,False,37,121,0.2973,False,0.2973,False
trial09_cart,car_t,mechanism_limitation,b1b,focus_hint,run1,point_one,35,142,0.2857,False,35,135,0.2857,False,0.2857,False
trial09_cart,car_t,mechanism_limitation,b1b,focus_hint,run1,point_two,44,142,0.25,False,44,135,0.25,False,0.25,False
trial09_cart,car_t,mechanism_limitation,b1b,focus_hint,run2,point_one,38,109,0.2105,False,38,101,0.2105,False,0.2105,False
trial09_cart,car_t,mechanism_limitation,b1b,focus_hint,run2,point_two,37,109,0.3514,False,36,101,0.3333,False,0.3333,False
