article_id,blind_set,strategy_id,rank,research_band,user_input_phrase,canonical_phrase,user_input_gloss,canonical_gloss,rating_symbol,score,phrase_match_status,gloss_match_status,source_span,source_sentence,extraction_form_qa_verdict,extraction_form_qa_notes
A02,B,L,10,RANK_6_TO_10,endless current of scrolling,endless current of scrolling,延々と続くスクロールの流れ,延々と続くスクロールの流れ,〇,2,EXACT_MATCH,EXACT_MATCH,endless current of scrolling,"“What the UK is trying to switch off is not the glow of the smartphone, but the endless current of scrolling that carries teenagers right up to bedtime.”",PASS,
A02,C,P,1,TOP_5,by default,by default,初期設定で,初期設定で,△,1,EXACT_MATCH,EXACT_MATCH,by default,"During those hours, apps covered by the plan would be unavailable by default.",PASS,
A02,C,P,2,TOP_5,opt out,opt out,適用を拒否する,適用を拒否する,〇,2,EXACT_MATCH,EXACT_MATCH,opt out,Teenagers aged 16 and 17 would still be able to change the settings and opt out.,PASS,
A02,C,P,3,TOP_5,digital switch-off period,digital switch-off period,デジタル利用停止時間帯,デジタル利用停止時間帯,〇,2,EXACT_MATCH,EXACT_MATCH,digital switch-off period,"On July 15, the British government announced plans for a digital switch-off period for 16- and 17-year-olds.",PASS,
A02,C,P,4,TOP_5,personalized recommendation feed,personalized recommendation feed,個人向けおすすめフィード,個人向けおすすめフィード,〇,2,EXACT_MATCH,EXACT_MATCH,Personalized recommendation feeds,Personalized recommendation feeds would also be turned off.,PASS,複数形から単数見出し形への変更は適切。
A02,C,P,5,TOP_5,speed bump,speed bump,小さな心理的障害,小さな心理的障害,〇,2,EXACT_MATCH,EXACT_MATCH,speed bump,"In other words, the plan puts a small speed bump before the automatic urge to watch “just one more.”",PASS,文脈上の比喩義に対応したグロスになっている。
A02,C,P,6,RANK_6_TO_10,unavailable,unavailable,利用できない,利用できない,×,0,EXACT_MATCH,EXACT_MATCH,unavailable,"During those hours, apps covered by the plan would be unavailable by default.",PASS,
A02,C,P,7,RANK_6_TO_10,depend on,depend on,～次第である,～次第である,×,0,EXACT_MATCH,EXACT_MATCH,depend on,Its success will not depend on how many teenagers change the setting.,PASS,
A02,C,P,8,RANK_6_TO_10,urge,urge,衝動,衝動,×,0,EXACT_MATCH,EXACT_MATCH,urge,"In other words, the plan puts a small speed bump before the automatic urge to watch “just one more.”",PASS,
A02,C,P,9,RANK_6_TO_10,somewhere between,somewhere between,～と～の中間に,～と～の中間に,×,0,EXACT_MATCH,EXACT_MATCH,somewhere between,This midnight speed bump sits somewhere between a strict ban and a complete hands-off approach.,PASS,後続要素を取る比較の枠として意味のまとまりが成立している。
A02,C,P,10,RANK_6_TO_10,endless current of scrolling,endless current of scrolling,延々と続くスクロールの流れ,延々と続くスクロールの流れ,〇,2,EXACT_MATCH,EXACT_MATCH,endless current of scrolling,"“What the UK is trying to switch off is not the glow of the smartphone, but the endless current of scrolling that carries teenagers right up to bedtime.”",PASS,
ADD03,A,L,1,TOP_5,blockade,blockade,海上封鎖,海上封鎖,〇,2,EXACT_MATCH,EXACT_MATCH,blockade,"Because the toll was gone, but the blockade targeting ships linked to Iran was still in place.",PASS,
ADD03,A,L,2,TOP_5,toll,toll,通行料,通行料,〇,2,EXACT_MATCH,EXACT_MATCH,tolls,Ships passing through the Strait of Hormuz should not be charged tolls or transit fees.,PASS,
ADD03,A,L,3,TOP_5,be in place,be in place,実施中である,実施中である,△,1,EXACT_MATCH,EXACT_MATCH,was still in place,"Because the toll was gone, but the blockade targeting ships linked to Iran was still in place.",PASS,
ADD03,A,L,4,TOP_5,freedom of navigation,freedom of navigation,航行の自由,航行の自由,〇,2,EXACT_MATCH,EXACT_MATCH,freedom of navigation,It also collided head-on with the basic principle of freedom of navigation.,PASS,
ADD03,A,L,5,TOP_5,breathe a sigh of relief,breathe a sigh of relief,ほっと胸をなで下ろす,ほっと胸をなで下ろす,△,1,EXACT_MATCH,EXACT_MATCH,breathe a sigh of relief,"So, did the markets breathe a sigh of relief?",PASS,
ADD03,A,L,6,RANK_6_TO_10,hardly surprising,hardly surprising,ほとんど驚くことではない,ほとんど驚くことではない,×,0,EXACT_MATCH,EXACT_MATCH,hardly surprising,"So, it is hardly surprising that the industry reacted with both shock and doubt.",PASS,
ADD03,A,L,7,RANK_6_TO_10,intraday high,intraday high,日中高値,日中高値,〇,2,EXACT_MATCH,EXACT_MATCH,intraday high,"After the plan was dropped, prices fell from an intraday high above 87 dollars a barrel.",PASS,
ADD03,A,L,8,RANK_6_TO_10,Very Large Crude Carrier,Very Large Crude Carrier,大型原油タンカー,大型原油タンカー,〇,2,EXACT_MATCH,EXACT_MATCH,Very Large Crude Carrier,"For a fully loaded Very Large Crude Carrier, the proposed fee could have reached about 30 million dollars.",PASS,
ADD03,A,L,9,RANK_6_TO_10,collide head-on with,collide head-on with,～と真っ向から衝突する,～と真っ向から衝突する,〇,2,EXACT_MATCH,EXACT_MATCH,collided head-on with,It also collided head-on with the basic principle of freedom of navigation.,PASS,
ADD03,A,L,10,RANK_6_TO_10,hang over,hang over,不安の影を落とす,不安の影を落とす,〇,2,EXACT_MATCH,EXACT_MATCH,hangs over,The tollbooth sign is gone—but the smell of gunpowder still hangs over the strait.,PASS,
ADD03,B,P,1,TOP_5,toll,toll,通行料,通行料,〇,2,EXACT_MATCH,EXACT_MATCH,tolls,Ships passing through the Strait of Hormuz should not be charged tolls or transit fees.,PASS,
ADD03,B,P,2,TOP_5,blockade,blockade,海上封鎖,海上封鎖,〇,2,EXACT_MATCH,EXACT_MATCH,blockade,"Because the toll was gone, but the blockade targeting ships linked to Iran was still in place.",PASS,
ADD03,B,P,3,TOP_5,be in place,be in place,実施中である,実施中である,△,1,EXACT_MATCH,EXACT_MATCH,was still in place,"Because the toll was gone, but the blockade targeting ships linked to Iran was still in place.",PASS,
ADD03,B,P,4,TOP_5,freedom of navigation,freedom of navigation,航行の自由,航行の自由,〇,2,EXACT_MATCH,EXACT_MATCH,freedom of navigation,It also collided head-on with the basic principle of freedom of navigation.,PASS,
ADD03,B,P,5,TOP_5,withdraw,withdraw,撤回する,撤回する,△,1,EXACT_MATCH,EXACT_MATCH,was withdrawn,"But just one day later, the plan was withdrawn.",PASS,
ADD03,B,P,6,RANK_6_TO_10,smell of gunpowder,smell of gunpowder,戦火の気配,戦火の気配,〇,2,EXACT_MATCH,EXACT_MATCH,smell of gunpowder,“The tollbooth sign is gone—but the smell of gunpowder still hangs over the strait.”,PASS,
ADD03,B,P,7,RANK_6_TO_10,breathe a sigh of relief,breathe a sigh of relief,ほっと胸をなで下ろす,ほっと胸をなで下ろす,△,1,EXACT_MATCH,EXACT_MATCH,breathe a sigh of relief,"So, did the markets breathe a sigh of relief?",PASS,
ADD03,B,P,8,RANK_6_TO_10,even soo,even so,それでもなお,それでもなお,×,0,LIKELY_TYPO_OR_MINOR_VARIANT,EXACT_MATCH,Even so,"Even so, Brent closed on July 14 at 84 dollars and 73 cents.",PASS,
ADD03,B,P,9,RANK_6_TO_10,do more than,do more than,～するだけにとどまらない,～するだけにとどまらない,×,0,EXACT_MATCH,EXACT_MATCH,did more than,"In other words, the proposal did more than make the markets nervous.",PASS,
ADD03,B,P,10,RANK_6_TO_10,take a different form,take a different form,別の形に変わる,別の形に変わる,〇,2,EXACT_MATCH,EXACT_MATCH,had taken a completely different form,"Within just 24 hours, a proposal that shook global energy supply routes had taken a completely different form.",PASS,
ADD03,C,U,1,TOP_5,blockade,blockade,封鎖、通航阻止,封鎖、通航阻止,〇,2,EXACT_MATCH,EXACT_MATCH,blockade,"Because the toll was gone, but the blockade targeting ships linked to Iran was still in place.",PASS,
ADD03,C,U,2,TOP_5,toll,toll,通行料、通航料,通行料、通航料,〇,2,EXACT_MATCH,EXACT_MATCH,tolls,Ships passing through the Strait of Hormuz should not be charged tolls or transit fees.,PASS,
ADD03,C,U,3,TOP_5,breathe a sigh of relief,breathe a sigh of relief,ほっと胸をなで下ろす,ほっと胸をなで下ろす,△,1,EXACT_MATCH,EXACT_MATCH,breathe a sigh of relief,"So, did the markets breathe a sigh of relief?",PASS,
ADD03,C,U,4,TOP_5,be on edge,be on edge,不安で緊張している,不安で緊張している,△,1,EXACT_MATCH,EXACT_MATCH,Is Still on Edge,The 20% Toll Disappeared Overnight—But the Oil Market Is Still on Edge,PASS,
ADD03,C,U,5,TOP_5,be in place,be in place,依然として実施中である,依然として実施中である,△,1,EXACT_MATCH,EXACT_MATCH,was still in place,"Because the toll was gone, but the blockade targeting ships linked to Iran was still in place.",FAIL,display_phraseではstillを除いているため、グロスの「依然として」はbe in place自体には含まれない意味を加えている。
ADD03,C,U,6,RANK_6_TO_10,intraday high,intraday high,日中の最高値,日中の最高値,〇,2,EXACT_MATCH,EXACT_MATCH,intraday high,"After the plan was dropped, prices fell from an intraday high above 87 dollars a barrel.",PASS,
ADD03,C,U,7,RANK_6_TO_10,be withdrawn,be withdrawn,撤回される,撤回される,△,1,EXACT_MATCH,EXACT_MATCH,was withdrawn,"But just one day later, the plan was withdrawn.",PASS,
ADD03,C,U,8,RANK_6_TO_10,collide head-on with,collide head-on with,不安の影を落とす,〜と真っ向から衝突する,〇,2,EXACT_MATCH,DIFFERS,collided head-on with,It also collided head-on with the basic principle of freedom of navigation.,PASS,
ADD03,C,U,9,RANK_6_TO_10,freedom of navigation,freedom of navigation,航行の自由,航行の自由,〇,2,EXACT_MATCH,EXACT_MATCH,freedom of navigation,It also collided head-on with the basic principle of freedom of navigation.,PASS,
ADD03,C,U,10,RANK_6_TO_10,Very Large Crude Carrier,Very Large Crude Carrier,大型原油タンカー,大型原油タンカー,〇,2,EXACT_MATCH,EXACT_MATCH,Very Large Crude Carrier,"For a fully loaded Very Large Crude Carrier, the proposed fee could have reached about 30 million dollars.",PASS,
